key,type,is_abstract_type,type_name,type_name_plural,display_name,display_name_plural,instance_type_kind,description,metaschema_partition,extends,uses_key_rule,ComponentOf,instance_properties,instance_relationships
MetaValueType,TypeDescriptor,True,MetaValueType,MetaValueTypes,Meta Value Type,Meta Value Types,Holon,,abstract_value_types,MetaHolonType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
ValueType,TypeDescriptor,True,ValueType,ValueTypes,Value Type,Value Types,Holon,,abstract_value_types,MetaValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
StringValueType,TypeDescriptor,True,StringValueType,StringValueTypes,StringValueType,StringValueTypes,,Abstract type for string-based value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
IntegerValueType,TypeDescriptor,True,IntegerValueType,IntegerValueTypes,IntegerValueType,IntegerValueTypes,,Abstract type for integer-based value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
BooleanValueType,TypeDescriptor,True,BooleanValueType,BooleanValueTypes,BooleanValueType,BooleanValueTypes,,Abstract type for boolean-based value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
BytesValueType,TypeDescriptor,True,BytesValueType,BytesValueTypes,BytesValueType,BytesValueTypes,,Abstract type for byte sequence value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
EnumValueType,TypeDescriptor,True,EnumValueType,EnumValueTypes,EnumValueType,EnumValueTypes,,Abstract type for enum-based value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
EnumVariantValueType,TypeDescriptor,True,EnumVariantValueType,EnumVariantValueTypes,Enum Variant Value Type,Enum Variant Value Types,,Abstract type for variants of enum-based value types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
ValueArrayType,TypeDescriptor,True,ValueArrayType,ValueArrayTypes,ValueArrayType,ValueArrayTypes,,Abstract type for value array types.,abstract_value_types,ValueType,TypeNameRule.FormatRule.KeyRuleType,MAP Metaschema-v0.0.2,,
