key,type,is_abstract_type,type_name,type_name_plural,display_name,display_name_plural,instance_type_kind,description,metaschema_partition,extends,uses_key_rule,instance_properties,instance_relationships,ComponentOf,property_name,DependsOn
MAP Key Rule Schema,SchemaType,False,MAP Key Rule Schema,MAP Key Rule Schemas,MAP Key Rule Schema,MAP Key Rule Schemas,,Groups all type descriptors related to holon key derivation strategies in MAP.,keyrules,,,,,,,MAP Metaschema-v0.0.2
KeyRuleType,TypeDescriptor,True,KeyRuleType,KeyRuleTypes,Abstract Key Rule Type,Abstract Key Rule Types,Holon,"Abstract holon type describing how keys are derived for other holons. Subtypes such as Format.KeyRuleType and Relationship.KeyRuleType define specific key derivation strategies. This type should not be instantiated directly, but it SHOULD be ExtendedBy the various specific KeyRuleTypes.",keyrules,MetaHolonType,,,,MAP Key Rule Schema,,
FormatRule.KeyRuleType,TypeDescriptor,False,FormatRule,FormatRules,Format Key Rule Type,Format Key Rule Types,Holon,Derives a key from a format string and a list of properties. Each instance of this type defines a concrete rule used by a HolonType.,keyrules,KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
TypeNameRule.FormatRule.KeyRuleType,FormatRule.KeyRuleType,False,TypeNameRule,TypeNameRules,Type Name Rule,Type Name Rules,,,keyrules,FormatRule.KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
TypeKindRule.FormatRule.KeyRuleType,FormatRule.KeyRuleType,False,TypeKindRule,TypeKindRules,TypeKind Rules,TypeKind Rules,,Generates a key from the holon's type_name and type_kind properties.,keyrules,FormatRule.KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
RelationshipRule.KeyRuleType,TypeDescriptor,False,RelationshipRule,RelationshipRules,Relationship Key Rule Type,Relationship Key Rule Types,Holon,"Hardcoded rule: ($0)-[$1]->($2) using source_type, type_name, and target_type.",keyrules,KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
ExtendedTypeRule.KeyRuleType,TypeDescriptor,False,ExtendedTypeRule,ExtendedTypeRules,Extended Type Key Rule Type,Extended Type Key Rule Types,Holon,Hardcoded rule: <type_name>.<extends.key>,keyrules,KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
NoneRule.KeyRuleType,TypeDescriptor,False,NoneRule,NoneRules,None Key Rule Type,None Key Rule Types,Holon,Indicates a keyless holon. Must be embedded and never referenced.,keyrules,KeyRuleType,ExtendedTypeRule.KeyRuleType,,,MAP Key Rule Schema,,
